|--------------------------------------------------------------------------------------|
|Bill Of Materials for bogiectl3.sch on Sun Nov 25 15:34:11 2012                       |
|--------------------------------------------------------------------------------------|
|Item|Qty |Reference|Part Name     |Manufacturer  |Description                  |Value |
|----+----+---------+--------------+--------------+-----------------------------+------|
|1   |1   |U201     |74LVC2G07_DCK |              |Dual Open Drain Schmitt      |      |
|    |    |         |              |              |Buffers, SC-70-6             |      |
|2   |2   |U400-401 |74LVC2G34_DCK |              |Dual Schmitt Buffer, 5V      |      |
|    |    |         |              |              |Tolerant, SC-70-6            |      |
|3   |1   |Y100     |ABM2-16.000MHZ|Abracon       |Crystal, 16.000MHz, SMD      |16.000|
|    |    |         |-D4Y-T,       |              |                             |MHz   |
|    |    |         |16.000MHz     |              |                             |      |
|4   |1   |L100     |ACML-0603-190 |              |Ferrite Bead, 0603           |      |
|5   |1   |U100     |ATXMEGA16D4   |              |ATxmega D4 series MCU - 16k  |      |
|    |    |         |              |              |flash                        |      |
|6   |2   |C400-401 |CAP-0603,0.01u|              |Capacitor, SMT, 0603         |0.01u |
|7   |13  |C101-105 |CAP-0603,0.1uF|              |Capacitor, SMT, 0603         |0.1uF |
|    |    |C200-202 |              |              |                             |      |
|    |    |C308     |              |              |                             |      |
|    |    |C310-311 |              |              |                             |      |
|    |    |C402-403 |              |              |                             |      |
|8   |1   |C306     |CAP-0603,1.2nF|              |Capacitor, SMT, 0603         |1.2nF |
|9   |1   |C203     |CAP-0603,100pF|              |Capacitor, SMT, 0603         |100pF |
|10  |1   |C305     |CAP-0603,15nF |              |Capacitor, SMT, 0603         |15nF  |
|11  |2   |C106-107 |CAP-0603,18pF |              |Capacitor, SMT, 0603         |18pF  |
|12  |2   |C204-205 |CAP-0603,1nF  |              |Capacitor, SMT, 0603         |1nF   |
|13  |1   |C307     |CAP-0603,1pF  |              |Capacitor, SMT, 0603         |1pF   |
|14  |1   |C300     |CAP-0603,1uF  |              |Capacitor, SMT, 0603         |1uF   |
|15  |2   |C108-109 |CAP-0603,4.7uF|              |Capacitor, SMT, 0603         |4.7uF |
|16  |1   |C100     |CAP-0805,10uF |IPC SM-782    |SURFACE MOUNT CAPACITOR 0.048|10uF  |
|    |    |         |              |STD.          |X 0.079 INCHES               |      |
|17  |2   |C309 C312|CAP-1206,10uF |IPC SM-782    |SURFACE MOUNT CAPACITOR 0.062|10uF  |
|    |    |         |              |STD.          |X 0.126 INCHES               |      |
|18  |1   |C304     |CAP-1210,4.7uF|              |Capacitor, SMT, 1206         |4.7uF |
|19  |2   |C301-302 |CAP-RADIAL-10X|              |Radial Electrolytic          |330uF |
|    |    |         |12.5_3MMP,    |              |Capacitor, 10x12.5x3mm       |      |
|    |    |         |330uF         |              |(DxHxP)                      |      |
|20  |1   |C303     |CAP-RADIAL-6.3|              |Radial Electrolytic          |NU    |
|    |    |         |X7_2.5MMP,NU  |              |Capacitor, 6.3x7x2.5mm       |      |
|    |    |         |              |              |(DxHxP)                      |      |
|21  |1   |F300     |FUSE_HOLDER_35|Key Electric  |Automotive Fuse Holder       |      |
|    |    |         |44-2          |Co            |                             |      |
|22  |8   |J100     |HDR_2P1R_100MI|3M, Various   |Standard 2 Pin 1 Row .100"   |      |
|    |    |T200-202 |L             |              |Header                       |      |
|    |    |T300-301 |              |              |                             |      |
|    |    |T400-401 |              |              |                             |      |
